Problem,Description,Proposed Solution,Implemented Solution,Resolved,Notes,Identified By
Watchdog configuration,The watchdog pins are floating on boot,Add pullups/pulldowns,Added pullups,TRUE,,Max Leibowitz
SWTRACE not connected,SWO/SWTRACE isn't connected on the debug header,Connect it if you've got room,,TRUE,,Max Leibowitz
Reset could trigger in flight,Acceleration or vibration could push the reset button,Add a removable series jumper,,TRUE,,Max Leibowitz
Very thin wires in MPPT,The SW1 and SW2 lines on the LTC3130 are very thin until they get to the boot capacitors,Extend the pour downwards,Pours,TRUE,,Max Leibowitz
Thin pour on battery charger 0,The SW1 pour narrows to 0.3mm wide,Change the pour geometry,Expanded vertical height,TRUE,,Max Leibowitz
Thin SW1 and SW2 pours on 3.3V regulator,SW2 narrows to about the width of the pad,Change the pour geometry,Redrew pours,TRUE,,Max Leibowitz
Gap in SW1 and SW2 pours on 5V regulator,SW1 and SW2 don't connect properly to the pins,Figure out why it's doing that,Redrew pours,TRUE,,Max Leibowitz
STAT1 and STAT2 aren't connected,Both power path ideal diodes don't have STAT1 or STAT2 connected to the pin,Connect it or get rid of it,Got rid of it,TRUE,,Max Leibowitz
Some 100 nF capacitors are listed as 0.1 uF,,Change them,Changed to 100n,TRUE,,Max Leibowitz
USB data isn't connected,"Not an issue exactly, but your MCU has USB, you may as well",,"Didn't connect, just flashing over SWD",TRUE,,Max Leibowitz
Could reinforce vias by adding teardrops,Not an issue but adds mechanical strength to via-trace connections,Pretty easy to add teardrops in kicad,Didn't,TRUE,,Nicholas Alves
DRC spacing errors,,Fix them,,TRUE,,Max Leibowitz
Extra items in layout,"Check test for parity between PCB and schematic in DRC, there's 10 extra footprints",Remove them?  Re-add to schematic?,Removed,TRUE,,Max Leibowitz
Q1 and Q3 orientation,"I would check the orientation of Q1 and Q3 in the battery charger schematics, looks flipped relative to what the datasheet shows.",Flip Q1 and Q3 if its an issue,"Confirmed the pinout, it's correct",TRUE,,Nicholas Alves
VBUS trace,Is there a reason VBUS is routed that way between A4 and A9? Just interesting how it goes so thin and then thick and then thing again.,,Changed to 0.2mm,TRUE,,Nicholas Alves
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
,,,,FALSE,,
